GAME_ID,period,starter_ids
0022401185,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401185,2,"[1629060, 1630692, 2544, 1629020, 1630559]"
0022401185,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401185,4,"[1629216, 1629060, 1630692, 1627827, 1630559]"
0022401159,1,"[1629060, 1629637, 1629029, 2544, 1630559]"
0022401159,2,"[1629060, 2544, 1627827, 1629020, 1630559]"
0022401159,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401159,4,"[1629216, 1629637, 2544, 1629020, 1630559]"
0022401153,1,"[1629637, 1629029, 2544, 1627827, 1630559]"
0022401153,2,"[1629216, 1629637, 2544, 1642261, 1630559]"
0022401153,3,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022401153,4,"[2544, 1627827, 1642261, 1629020, 1630559]"
0022401135,1,"[1629060, 1629029, 1629637, 1627827, 1630559]"
0022401135,2,"[1629216, 2544, 1627827, 1629020, 1630559]"
0022401135,3,"[1629060, 1629637, 1629029, 2544, 1630559]"
0022401135,4,"[1629216, 1629060, 2544, 1627827, 1630559]"
0022401126,1,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022401126,2,"[1629216, 2544, 1642261, 1629020, 1630559]"
0022401126,3,"[1629637, 1629029, 2544, 1627827, 1630559]"
0022401126,4,"[1629637, 2544, 1642261, 1629020, 1630559]"
0022401117,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401117,2,"[1629060, 1630692, 1629637, 2544, 1630559]"
0022401117,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401117,4,"[1629216, 1629060, 1627827, 1629020, 1630559]"
0022401096,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401096,2,"[1630692, 2544, 1642261, 1629020, 1630559]"
0022401096,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401096,4,"[1629216, 1629029, 2544, 1629020, 1630559]"
0022401078,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401078,2,"[1629216, 2544, 1642261, 1629020, 1630559]"
0022401078,3,"[1629637, 1629029, 2544, 1627827, 1630559]"
0022401078,4,"[1629216, 1629060, 2544, 1627827, 1630559]"
0022401063,1,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022401063,2,"[1630692, 2544, 1642261, 1629020, 1630559]"
0022401063,3,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022401063,4,"[1630692, 2544, 1642261, 1629020, 1630559]"
0022401055,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401055,2,"[2544, 1627827, 1642261, 1629020, 1630559]"
0022401055,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022401055,4,"[1629216, 1629060, 2544, 1629020, 1630559]"
0022401038,1,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022401038,2,"[1629060, 1629637, 2544, 1642261, 1630559]"
0022401038,3,"[1629637, 1629029, 2544, 1627827, 1630559]"
0022401038,4,"[1629216, 2544, 1627827, 1629020, 1630559]"
0022401028,1,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022401028,2,"[1630692, 2544, 1627827, 1629020, 1630559]"
0022401028,3,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022401028,4,"[1629216, 1629637, 2544, 1627827, 1630559]"
0022401006,1,"[1630692, 1629029, 1629637, 1627827, 1630559]"
0022401006,2,"[1630692, 1627827, 1642261, 1629020, 1630559]"
0022401006,3,"[1630692, 1629637, 1629029, 1627827, 1630559]"
0022401006,4,"[1629216, 1627827, 1642261, 1629020, 1630559]"
0022400537,1,"[1630692, 1629029, 1629637, 1627827, 1630559]"
0022400537,2,"[1630692, 1627827, 1642261, 1629020, 1630559]"
0022400537,3,"[1630692, 1629029, 1629637, 1627827, 1630559]"
0022400537,4,"[1629216, 1627827, 1642261, 1629020, 1630559]"
0022400977,1,"[1630692, 1629029, 1629637, 1631132, 1630559]"
0022400977,2,"[1630692, 1629020, 1642261, 1631132, 1630559]"
0022400977,3,"[1630692, 1629029, 1629637, 1627827, 1630559]"
0022400977,4,"[1629637, 1627827, 1642261, 1631132, 1630559]"
0022400955,1,"[1629216, 203458, 1629029, 1627827, 1630559]"
0022400955,2,"[203458, 1630692, 1627827, 1642261, 1630559]"
0022400955,3,"[1629216, 203458, 1629029, 1627827, 1630559]"
0022400955,4,"[1629216, 202693, 1627827, 1642261, 1630559]"
0022400930,1,"[1629216, 203458, 1629029, 1642261, 1630559]"
0022400930,2,"[203458, 1630692, 1629029, 1642261, 1630559]"
0022400930,3,"[1629216, 203458, 1629029, 1642261, 1630559]"
0022400930,4,"[1629216, 1630692, 1642261, 1629020, 1630559]"
0022400903,1,"[1629029, 1629637, 2544, 1627827, 1630559]"
0022400903,2,"[1629216, 1641998, 2544, 1642261, 1630559]"
0022400903,3,"[1629637, 1629029, 2544, 1627827, 1630559]"
