Year,Name,Team,POS,GP,SOLO,AST,TOT,SACK,SKYDS,TFL,PD,INT,INTYDS,INTLNG,ITD,FF,FR,FTD
2025,Myles Garrett,CLE,DE,17,43,17,60,23,165,33,1,0,0,0,0,3,0,0
2025,Maxx Crosby,LV,DE,15,45,28,73,10,50,28,6,1,19,19,0,2,0,0
2025,Brian Burns,NYG,LB,17,39,28,67,16.5,136,22,7,0,0,0,0,3,1,0
2025,Tuli Tuipulotu,LAC,LB,16,35,14,49,13,71,20,3,0,0,0,0,2,1,0
2025,Will Anderson Jr.HOU,DE,17,35,19,54,12,101,20,3,0,0,0,0,3,2,1
2025,Eric Wilson,MIN,LB,17,60,55,115,6.5,50,17,0,0,0,0,0,4,0,0
2025,Jeffery Simmons,TEN,DT,15,39,28,67,11,79,17,3,0,0,0,0,3,0,0
2025,Cameron Jordan,NO,DE,17,32,15,47,10.5,65,15,2,0,0,0,0,2,1,0
2025,Danielle Hunter,HOU,DE,17,28,26,54,15,117,15,3,0,0,0,0,3,1,0
2025,Alex Highsmith,PIT,LB,13,36,14,50,9.5,44,15,3,0,0,0,0,1,0,0
2025,Nik Bonitto,DEN,LB,17,31,15,46,14,93,14,1,0,0,0,0,2,0,0
2025,Tre'von Moehrig,CAR,S,16,65,38,103,3,21,14,2,1,36,36,0,0,0,0
2025,Aidan Hutchinson,DET,DE,17,36,18,54,14.5,105,14,3,1,58,58,0,4,1,0
2025,Montez Sweat,CHI,DE,17,36,17,53,10,56,13,5,0,0,0,0,3,1,0
2025,Josh Sweat,ARI,LB,17,20,10,30,12,81,13,2,0,0,0,0,4,1,0
2025,Jordyn Brooks,MIA,LB,17,99,84,183,3.5,25,13,3,0,0,0,0,1,1,0
2025,Nick Herbig,PIT,LB,15,21,9,30,7.5,59,13,3,1,41,41,0,3,1,1
2025,Yaya Diaby,TB,LB,17,29,21,50,7,49,13,1,0,0,0,0,1,0,0
2025,Jadeveon Clowney,DAL,DE,13,24,17,41,8.5,42,12,4,0,0,0,0,1,2,0
2025,Chris Jones,KC,DT,17,15,14,29,7,39,12,2,0,0,0,0,0,0,0
2025,Josh Hines-Allen,JAX,DE,17,28,21,49,8,65,12,3,0,0,0,0,0,0,0
2025,Jalen Redmond,MIN,DT,17,33,29,62,6,42,12,5,0,0,0,0,1,2,0
2025,Micah Parsons,GB,DE,14,19,22,41,12.5,81,12,1,0,0,0,0,2,0,0
2025,Laiatu Latu,IND,DE,16,27,18,45,8.5,41,12,5,3,9,6,0,1,0,0
2025,Alex Wright,CLE,DE,14,21,16,37,5.5,39,12,1,0,0,0,0,1,0,0
2025,Byron Young,LAR,LB,17,45,37,82,12,62,12,0,0,0,0,0,1,0,0
2025,DeMarcus Lawrence,SEA,DE,16,24,29,53,6,42,11,1,0,0,0,0,3,3,2
2025,Andrew Van Ginkel,MIN,LB,12,28,26,54,7,46,11,10,1,40,40,0,0,2,0
2025,Carl Granderson,NO,DE,17,35,22,57,6,25,11,4,1,0,0,0,0,0,0
2025,Devin White,LV,LB,17,95,79,174,2.5,19,11,3,1,0,0,0,1,0,0
2025,Chase Young,NO,DE,12,22,16,38,10,86,11,4,0,0,0,0,2,3,1
2025,Brandon Dorlus,ATL,DT,15,15,12,27,8.5,44,11,0,0,0,0,0,0,0,0
2025,Dallas Turner,MIN,LB,17,29,37,66,8,56,11,3,0,0,0,0,4,0,0
2025,Jared Verse,LAR,LB,17,35,23,58,7.5,53,11,1,0,0,0,0,3,0,0
2025,Carson Schwesinger,CLE,LB,16,67,89,156,2.5,25,11,3,2,16,9,0,0,0,0
2025,T.J. Watt,PIT,LB,14,23,32,55,7,41,10,8,2,13,13,0,3,2,0
2025,Zach Sieler,MIA,DT,17,29,18,47,5.5,29,10,1,0,0,0,0,0,1,0
2025,Harold Landry IIINE,LB,15,27,22,49,8.5,50,10,0,0,0,0,0,1,0,0
2025,Kaden Elliss,ATL,LB,17,59,48,107,3.5,21,10,6,1,16,16,0,1,0,0
2025,Drue Tranquill,KC,LB,17,55,48,103,2,13,10,1,0,0,0,0,1,1,0
2025,Jonathan Greenard,MIN,LB,12,19,19,38,3,20,10,3,0,0,0,0,1,0,0
2025,Tyrel Dodson,MIA,LB,16,72,57,129,5,40,10,3,1,0,0,0,1,1,0
2025,Quinnen Williams,DAL/NYJ,DT,15,26,27,53,2.5,16,10,1,1,0,0,0,3,0,0
2025,K'Lavon Chaisson,NE,DE,16,18,13,31,7.5,43,10,2,0,0,0,0,2,1,1
2025,Will McDonald IVNYJ,DE,15,19,11,30,8,51,10,0,0,0,0,0,0,0,0
2025,Nick Bolton,KC,LB,17,73,81,154,1,8,10,6,1,0,0,0,1,0,0
2025,George Karlaftis,KC,DE,16,25,23,48,6,24,10,2,0,0,0,0,0,1,0
2025,Drake Thomas,SEA,LB,17,47,49,96,3.5,21,10,8,1,0,0,0,0,1,0
